file,line,type,message
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",1,"CONSOLE_USAGE_SUMMARY","14 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",21,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",28,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",29,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",30,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",33,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",35,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",44,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",55,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",65,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\cli\simple-cli.js",70,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternLearningEngine.js",82,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",29,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",32,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",37,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",40,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",44,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\error-logger-example.js",48,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",46,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",68,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",87,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",107,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",194,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",201,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",202,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\AuditTrailManager.js",204,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronExecutionTracer.js",88,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronExecutionTracer.js",100,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronExecutionTracer.js",135,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportDecryptor.js",187,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportDecryptor.js",238,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\src\components\Header.js",1,"MISSING_CONTRACT_METHODS","Component missing contract methods: render, destroy, attachTo, toJSON"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\config\Config.js",65,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\config\Config.js",98,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",1,"CONSOLE_USAGE_SUMMARY","39 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",11,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",12,"CONSOLE_USAGE","console.log() detected"
